RoWNo,Invoice,Product,Orders,SalesValue
1,100016,50809001,1,39.99
2,100016,YZAA001,2,105.98
3,100016,05493A004,1,19.99
4,100017,XYZ1A008,1,70
5,100018,Y6261A001,2,79.98
6,100019,XYZ1A008,1,70
7,100020,Z1600292SB,1,25
8,100020,Z2440565TL,1,35
9,100020,Z2451773,1,32
10,100020,Z2460009TL,1,25
11,100020,Z5900030,1,15
12,100021,Y6251A001,2,75.98
13,100021,Y6271A001,1,39.99
14,100022,XYZ2A008,1,70
15,100022,XYZ3A008,1,70
16,100023,XYZ3A008,2,13.98
17,100024,05262A001,1,69.99
18,100025,XYZ1A008,1,70
19,100026,XYZ1A008,3,20.97
20,100026,XYZ2A008,1,70
21,100027,XYZ2A008,5,34.95
22,100027,XYZ3A008,3,20.97
23,100028,Z2460009TL,1,25
24,100029,05471A001,1,47.99
25,100030,XYZ1A008,5,34.95
26,100031,Z1600292SB,1,25
27,100031,Z2440565TL,1,35
28,100031,Z2451773,1,32
29,100031,Z5900030,1,15
30,100032,05514A001,1,52.99
31,100033,Z2440565TL,1,35
32,100035,XYZ1A008,1,70
33,100036,Y6262A001,2,79.98
34,100036,Y6263A001,2,79.98
35,100037,XYZ1A008,8,55.92
36,100037,XYZ2A008,1,70
37,100037,XYZ3A008,1,70
38,100037,XYZ4A008,1,70
39,100038,XYZ1A008,1,70
40,100044,Y6261A001,4,159.96
41,100044,Y6263A001,1,39.99
42,100044,Y6271A001,2,79.98
43,100045,XYZ1A008,1,70
44,100045,XYZ2A008,1,70
45,100046,Y6261A001,2,79.98
46,100046,Y6264A004,2,35.98
47,100046,Y6271A004,1,17.99
48,100047,XYZ3A008,1,70
49,100048,XYZ1A008,2,13.98
50,100049,XYZ1A008,4,27.96
51,100049,XYZ2A008,1,70
52,100050,XYZ1A008,1,70
53,100051,XYZ3A008,2,13.98
54,100051,XYZ4A008,5,34.95
55,100052,XYZ1A008,4,27.96
56,100053,05263A001,1,69.99
57,100053,05264A001,1,69.99
58,100053,05493A001,2,105.98
59,100054,XYZ1A008,5,34.95
60,100054,XYZ2A008,1,70
61,100054,XYZ3A008,1,70
62,100055,XYZ3A008,2,13.98
63,100055,XYZ4A008,2,13.98
